번호,지자체 유형,광역,기초,자치법규명,제개정일자,지방의회_기수,최종분야,,
108,기초지자체_시,강원특별자치도,동해시,동해시 청소년수련시설 관리 및 운영 조례,2025-06-10,지방의회 9기,문화관광,,
109,기초지자체_시,강원특별자치도,동해시,동해시 위생업소 지원에 관한 조례,2025-06-10,지방의회 9기,보건의료,,
110,기초지자체_시,강원특별자치도,동해시,동해시 정책연구용역 관리 조례,2025-06-10,지방의회 9기,행정일반,,
111,기초지자체_시,강원특별자치도,동해시,동해시 주민자치회 시범실시 및 설치ㆍ운영에 관한 조례,2025-06-10,지방의회 9기,행정일반,,
112,기초지자체_시,강원특별자치도,동해시,동해시 공유재산 관리 조례,2025-06-10,지방의회 9기,행정일반,,
113,기초지자체_시,강원특별자치도,동해시,동해시 자활기금 설치 및 운용 조례,2025-06-10,지방의회 9기,복지,,
114,기초지자체_시,강원특별자치도,동해시,동해시 국가보훈대상자 예우 및 지원에 관한 조례,2025-06-10,지방의회 9기,복지,,
115,기초지자체_시,강원특별자치도,동해시,동해시 장애인 차별금지 및 인권보장에 관한 조례,2025-06-10,지방의회 9기,복지,,
116,기초지자체_시,강원특별자치도,동해시,동해시 경로당 지원 조례,2025-06-10,지방의회 9기,복지,,
117,기초지자체_시,강원특별자치도,동해시,동해시 북평산업단지 공공폐수처리시설 운영 및 부담 조례,2025-06-10,지방의회 9기,환경,,
118,기초지자체_시,강원특별자치도,동해시,동해시 폐기물 처리시설 주변지역 지원에 관한 조례,2025-06-10,지방의회 9기,환경,,
119,기초지자체_시,강원특별자치도,동해시,동해시 장기미집행 도시계획시설 대지 보상 임시특별회계 설치 및 운영 조례,2025-06-10,지방의회 9기,건설도시,,
120,기초지자체_시,강원특별자치도,동해시,동해시 공동주택 지원 조례,2025-06-10,지방의회 9기,건설도시,,
121,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도의회 의원 및 공무원 등의 소송비용 지원 조례,2025-06-05,지방의회 9기,의회,,
122,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 환경친화적 자동차정비산업 육성 및 지원 조례,2025-06-05,지방의회 9기,경제산업,,
123,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 공용차량 자동차보험 자기부담금 분담에 관한 조례,2025-06-05,지방의회 9기,행정일반,,
124,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 필수농자재 지원 조례,2025-06-05,지방의회 9기,농림수산,,
125,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 공익제보 보호와 지원에 관한 조례,2025-06-05,지방의회 9기,행정일반,,
126,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 영농부산물 안전처리에 관한 조례,2025-06-05,지방의회 9기,환경,,
127,광역지자체,강원특별자치도,강원특별자치도,강원특별자치도 분산에너지 활성화 조례,2025-06-05,지방의회 9기,환경,,
